beta_s,beta_r,delta_s,delta_r,alpha_H,alpha_R,alpha_S,alpha_Z,log_q_H,log_q_R,log_q_S,log_q_Z,s0,r0,log_total0,log_totalT,fraccion_mdr,treat_0,treat_1,treat_2,treat_3,treat_4,treat_5,treat_6,treat_7,treat_8,treat_9,treat_10,treat_11,treat_12,treat_13,treat_14,treat_15,treat_16,treat_17,treat_18,treat_19,treat_20,treat_21,treat_22,treat_23,treat_24,treat_25,treat_26,treat_27,treat_28,treat_29,treat_30,treat_31,treat_32,treat_33,treat_34,treat_35,treat_36,treat_37,treat_38,treat_39,treat_40,treat_41,treat_42,treat_43,treat_44,treat_45,treat_46,treat_47,treat_48,treat_49,treat_50,treat_51,treat_52,treat_53,treat_54,treat_55,treat_56,treat_57,treat_58,treat_59,treat_60,treat_61,treat_62,treat_63,treat_64,treat_65,treat_66,treat_67,treat_68,treat_69,treat_70,treat_71,treat_72,treat_73,treat_74,treat_75,treat_76,treat_77,treat_78,treat_79,treat_80,treat_81,treat_82,treat_83,treat_84,treat_85,treat_86,treat_87,treat_88,treat_89,treat_90,treat_91,treat_92,treat_93,treat_94,treat_95,treat_96,treat_97,treat_98,treat_99,treat_100,treat_101,treat_102,treat_103,treat_104,treat_105,treat_106,treat_107,treat_108,treat_109,treat_110,treat_111,treat_112,treat_113,treat_114,treat_115,treat_116,treat_117,treat_118,treat_119,treat_120,treat_121,treat_122,treat_123,treat_124,treat_125,treat_126,treat_127,treat_128,treat_129,treat_130,treat_131,treat_132,treat_133,treat_134,treat_135,treat_136,treat_137,treat_138,treat_139,treat_140,treat_141,treat_142,treat_143,treat_144,treat_145,treat_146,treat_147,treat_148,treat_149,treat_150,treat_151,treat_152,treat_153,treat_154,treat_155,treat_156,treat_157,treat_158,treat_159,treat_160,treat_161,treat_162,treat_163,treat_164,treat_165,treat_166,treat_167,treat_168,treat_169,treat_170,treat_171,treat_172,treat_173,treat_174,treat_175,treat_176,treat_177,treat_178,treat_179,prob_cura,recomendacion_cura,mejor_delta_log,mejor_log_mdr,cura_segun_ODE,tratamiento_recomendado,archivo_tratamiento
0.421916483884477,0.2551102751801641,0.3257579375973415,0.3278947211623745,0.0315373635921065,0.0354046312547468,0.0249663841938606,0.0137070599553944,-5.16232906084494,-5.809751059345298,-5.8955441192038585,-3.8855742778892184,0.0100253197264825,3.624180960392989e-07,-1.998886068428711,-0.9289951088887416,0.0004942585181458,6,6,6,6,13,13,13,13,7,7,7,7,7,7,7,7,14,14,14,14,14,14,14,14,14,14,10,10,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,7,7,11,11,11,11,11,11,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,15,15,15,15,9,9,9,9,9,9,2,2,2,2,2,2,2,9,8,8,8,8,8,8,8,8,8,2,2,2,2,2,7,7,12,12,12,12,2,2,2,2,1,11,1,1,1,1,1,1,1,1,8,8,8,14,14,14,2,2,2,2,7,7,7,7,7,7,7,0.00055706844,Tratamiento recomendado,-1.7445555,-2.5060186,True,"RIF: 177 días, PZA: 176 días, SRT: 177 días, INH: 175 días",MisDatos/tratamientos_optimizados/paciente_0_tratamiento.csv
0.4064893287376722,0.2359820521328046,0.3241237357854679,0.3286162851846321,0.0347709383258992,0.0336113843013712,0.0259086723628122,0.0126514568510543,-4.904406398433784,-6.147576899377075,-6.150498478539863,-3.8289749795973966,0.0091457849075282,4.661637931904122e-07,-2.0387568810886365,-1.356521653727174,0.00015123562251,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.00044129248,Tratamiento recomendado,-1.8932283,-2.3963463,True,"RIF: 179 días, PZA: 179 días, INH: 177 días, SRT: 176 días",MisDatos/tratamientos_optimizados/paciente_1_tratamiento.csv
0.3619887593109004,0.264415843386146,0.3190192533504326,0.3042358961500301,0.0411962786592025,0.0396523309873556,0.0257390528124423,0.0131390537970087,-5.143864161174435,-6.032354272273478,-5.813507235142727,-3.96158297870625,0.0089542112825095,4.322339793153828e-07,-2.047951698693051,-6.211130134622535,0.0887804190098643,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,3,15,15,3,12,15,15,3,3,15,15,15,12,15,15,3,15,15,15,15,15,15,15,15,15,3,15,10,15,15,15,12,3,12,15,3,15,3,15,3,12,15,3,15,3,15,14,15,2,15,3,3,12,15,15,15,3,15,15,15,15,15,3,3,15,15,13,15,15,3,15,3,3,15,12,3,15,15,15,15,15,1,15,15,3,15,5,15,15,12,3,6,12,3,15,15,3,15,15,12,15,15,15,15,1,3,15,0,15,12,15,14,3,3,15,12,15,15,15,3,15,4,15,15,15,3,12,0.9999801,Seguimiento sin tratamiento,-1.8526368,-2.481781,True,"RIF: 175 días, PZA: 175 días, SRT: 173 días, INH: 172 días",MisDatos/tratamientos_optimizados/paciente_2_tratamiento.csv
0.3645785552122608,0.2840771082913341,0.3278338629051684,0.3308843359641752,0.0314990841516677,0.0360543718823158,0.0279615050266307,0.0125200473783055,-4.920751686408545,-5.864807912537847,-6.183939480181174,-4.119287155712378,0.0086208519697643,3.805794913708227e-07,-2.0644306400831365,-3.226966026232287,0.0013011286258101,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.36760727,Seguimiento sin tratamiento,-1.8037124,-2.4857292,True,"RIF: 174 días, PZA: 172 días, SRT: 175 días, INH: 171 días",MisDatos/tratamientos_optimizados/paciente_3_tratamiento.csv
0.3754433192695123,0.241660700105424,0.3212971409184391,0.3392081913959473,0.0406097485364018,0.0385149394212074,0.02338502277138,0.0103668840232967,-4.955382557609172,-6.178199874003482,-5.953476412028987,-4.183059779367933,0.0104875910935009,4.361563870811704e-07,-1.979306192936904,-4.92716815494787,0.000863082248812,9,15,15,15,15,3,15,15,15,15,3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,3,15,12,12,15,15,3,15,15,7,7,15,3,3,15,3,15,15,15,15,15,12,12,15,12,10,15,15,15,3,15,15,15,15,2,15,15,15,15,15,15,15,15,12,3,3,3,3,15,15,15,15,12,15,3,12,15,4,12,15,15,15,15,15,9,3,15,15,15,15,11,15,15,15,15,3,3,7,3,15,3,8,11,3,12,15,3,15,15,3,1,15,3,3,15,15,15,3,15,15,15,3,3,15,15,12,6,12,15,15,15,15,3,3,3,12,3,12,15,15,0.9994241,Seguimiento sin tratamiento,-1.8282181,-2.5093606,True,"RIF: 176 días, PZA: 176 días, SRT: 176 días, INH: 173 días",MisDatos/tratamientos_optimizados/paciente_4_tratamiento.csv
0.3603600099951727,0.261170347369308,0.3203186219809319,0.3011842915651445,0.0402333735555829,0.0341763770809141,0.0288267573691524,0.0111957746044756,-5.039457776978645,-5.841746047446521,-5.9313548764576565,-4.104936654655761,0.0109339796182513,4.452645802148607e-07,-1.961204054581641,-2.72537907850728,0.000954201673615,7,6,6,6,6,6,8,8,8,8,8,15,15,15,15,3,3,3,3,3,3,3,3,3,3,7,7,7,7,6,6,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,4,4,10,10,10,10,10,10,14,14,14,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,1,8,8,8,8,8,8,8,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,0,0,8,8,8,9,9,8,8,7,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,4,4,0,0,0,1,1,1,1,1,1,1,1,14,14,14,14,13,13,13,13,13,13,13,13,4,4,4,4,4,4,4,4,10,10,10,6,6,6,15,15,15,0.0794809,Tratamiento recomendado,-1.7919451,-2.5077906,True,"RIF: 176 días, PZA: 175 días, SRT: 175 días, INH: 174 días",MisDatos/tratamientos_optimizados/paciente_5_tratamiento.csv
0.3903242156029844,0.2613615589479543,0.3222514923155921,0.3292454390661118,0.0403868704718523,0.03957716922982,0.0227988998172858,0.0108175894683257,-4.886815947989566,-5.97202647254339,-6.1581539612780904,-3.838410683648784,0.009600245784539,4.437984259951302e-07,-2.017697572031171,-1.5128100578808532,0.000693131324645,14,15,15,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,7,7,7,7,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,12,14,5,5,5,5,5,5,15,15,15,15,15,15,5,5,5,5,5,5,5,5,9,9,11,11,1,1,1,1,1,1,9,9,9,9,9,9,13,0,0,0,0,0,0,0,0,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13,13,13,13,13,13,13,13,13,8,8,8,7,7,7,7,7,7,7,7,10,10,10,10,10,10,5,5,5,5,9,9,0,0,7,7,7,8,8,8,8,8,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,11,11,11,3,3,3,3,3,8,8,8,0.0004126299,Tratamiento recomendado,-1.8163844,-2.4628239,True,"RIF: 177 días, PZA: 179 días, SRT: 173 días, INH: 176 días",MisDatos/tratamientos_optimizados/paciente_6_tratamiento.csv
0.4088181955546596,0.2555154309116781,0.3280781249830718,0.3341593750458891,0.034009335203505,0.0329304600091906,0.0293013746820442,0.013695497997994,-5.071113730470825,-5.982180639183464,-6.004070297563015,-3.947118999954055,0.0119128177230582,3.852461866008599e-07,-1.923971458932301,-1.070266212049194,0.0010841412661323,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0.000555976,Tratamiento recomendado,-1.7799214,-2.4966793,True,"RIF: 170 días, PZA: 172 días, SRT: 176 días, INH: 171 días",MisDatos/tratamientos_optimizados/paciente_7_tratamiento.csv
0.42117337828496,0.2810072073570112,0.3144182289282692,0.3182580877805708,0.0370315364891526,0.0349197886587005,0.023750852870357,0.0132642240670113,-5.103909489540399,-5.9420723222562835,-6.084271945559066,-4.096876636119059,0.0080300281312,2.0125848583821817e-07,-2.095272048587838,-1.0682920734038508,0.000188238433146,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.00023719388,Tratamiento recomendado,-1.7731402,-2.4959683,True,"RIF: 173 días, PZA: 177 días, SRT: 175 días, INH: 173 días",MisDatos/tratamientos_optimizados/paciente_8_tratamiento.csv
0.4238008668544602,0.2871339092987459,0.3041498721034815,0.330973436047322,0.0318475629909315,0.0350736039905615,0.0269573482077588,0.013731603129653,-5.153718333076228,-6.043974963937388,-5.8005561939952335,-4.1229636707076365,0.0082785625463655,1.120988828065574e-07,-2.0820391849937345,-1.5276973592461902,0.0016379138584029,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0.00034606122,Tratamiento recomendado,-1.760875,-2.5241437,True,"RIF: 177 días, PZA: 176 días, SRT: 175 días, INH: 173 días",MisDatos/tratamientos_optimizados/paciente_9_tratamiento.csv
